0.0000 1.0000 1.4142 2.2361 3.1623 4.1231 3.6056 2.8284 2.2361 2.0000 2.2361 2.8284 3.6056 4.2426 3.6056 3.1623 3.0000 3.1623 3.6056 4.4721 4.1231 4.0000 4.1231 4.4721 5.3852 5.0990 5.0000 5.0990 5.3852 6.3246 6.0828 6.0000 6.0828 0.0000
1.0000 0.0000 1.0000 2.0000 3.0000 4.0000 3.1623 2.2361 1.4142 1.0000 1.4142 2.2361 3.1623 3.6056 2.8284 2.2361 2.0000 2.2361 2.8284 3.6056 3.1623 3.0000 3.1623 3.6056 4.4721 4.1231 4.0000 4.1231 4.4721 5.3852 5.0990 5.0000 5.0990 1.0000
1.4142 1.0000 0.0000 1.0000 2.0000 3.0000 2.2361 1.4142 1.0000 1.4142 2.2361 3.1623 4.1231 4.4721 3.6056 2.8284 2.2361 2.0000 2.2361 3.1623 3.0000 3.1623 3.6056 4.2426 5.0000 4.4721 4.1231 4.0000 4.1231 5.0990 5.0000 5.0990 5.3852 1.4142
2.2361 2.0000 1.0000 0.0000 1.0000 2.0000 1.4142 1.0000 1.4142 2.2361 3.1623 4.1231 5.0990 5.3852 4.4721 3.6056 2.8284 2.2361 2.0000 3.0000 3.1623 3.6056 4.2426 5.0000 5.6569 5.0000 4.4721 4.1231 4.0000 5.0000 5.0990 5.3852 5.8310 2.2361
3.1623 3.0000 2.0000 1.0000 0.0000 1.0000 1.0000 1.4142 2.2361 3.1623 4.1231 5.0990 6.0828 6.3246 5.3852 4.4721 3.6056 2.8284 2.2361 3.1623 3.6056 4.2426 5.0000 5.8310 6.4031 5.6569 5.0000 4.4721 4.1231 5.0990 5.3852 5.8310 6.4031 3.1623
4.1231 4.0000 3.0000 2.0000 1.0000 0.0000 1.4142 2.2361 3.1623 4.1231 5.0990 6.0828 7.0711 7.2801 6.3246 5.3852 4.4721 3.6056 2.8284 3.6056 4.2426 5.0000 5.8310 6.7082 7.2111 6.4031 5.6569 5.0000 4.4721 5.3852 5.8310 6.4031 7.0711 4.1231
3.6056 3.1623 2.2361 1.4142 1.0000 1.4142 0.0000 1.0000 2.0000 3.0000 4.0000 5.0000 6.0000 6.0828 5.0990 4.1231 3.1623 2.2361 1.4142 2.2361 2.8284 3.6056 4.4721 5.3852 5.8310 5.0000 4.2426 3.6056 3.1623 4.1231 4.4721 5.0000 5.6569 3.6056
2.8284 2.2361 1.4142 1.0000 1.4142 2.2361 1.0000 0.0000 1.0000 2.0000 3.0000 4.0000 5.0000 5.0990 4.1231 3.1623 2.2361 1.4142 1.0000 2.0000 2.2361 2.8284 3.6056 4.4721 5.0000 4.2426 3.6056 3.1623 3.0000 4.0000 4.1231 4.4721 5.0000 2.8284
2.2361 1.4142 1.0000 1.4142 2.2361 3.1623 2.0000 1.0000 0.0000 1.0000 2.0000 3.0000 4.0000 4.1231 3.1623 2.2361 1.4142 1.0000 1.4142 2.2361 2.0000 2.2361 2.8284 3.6056 4.2426 3.6056 3.1623 3.0000 3.1623 4.1231 4.0000 4.1231 4.4721 2.2361
2.0000 1.0000 1.4142 2.2361 3.1623 4.1231 3.0000 2.0000 1.0000 0.0000 1.0000 2.0000 3.0000 3.1623 2.2361 1.4142 1.0000 1.4142 2.2361 2.8284 2.2361 2.0000 2.2361 2.8284 3.6056 3.1623 3.0000 3.1623 3.6056 4.4721 4.1231 4.0000 4.1231 2.0000
2.2361 1.4142 2.2361 3.1623 4.1231 5.0990 4.0000 3.0000 2.0000 1.0000 0.0000 1.0000 2.0000 2.2361 1.4142 1.0000 1.4142 2.2361 3.1623 3.6056 2.8284 2.2361 2.0000 2.2361 3.1623 3.0000 3.1623 3.6056 4.2426 5.0000 4.4721 4.1231 4.0000 2.2361
2.8284 2.2361 3.1623 4.1231 5.0990 6.0828 5.0000 4.0000 3.0000 2.0000 1.0000 0.0000 1.0000 1.4142 1.0000 1.4142 2.2361 3.1623 4.1231 4.4721 3.6056 2.8284 2.2361 2.0000 3.0000 3.1623 3.6056 4.2426 5.0000 5.6569 5.0000 4.4721 4.1231 2.8284
3.6056 3.1623 4.1231 5.0990 6.0828 7.0711 6.0000 5.0000 4.0000 3.0000 2.0000 1.0000 0.0000 1.0000 1.4142 2.2361 3.1623 4.1231 5.0990 5.3852 4.4721 3.6056 2.8284 2.2361 3.1623 3.6056 4.2426 5.0000 5.8310 6.4031 5.6569 5.0000 4.4721 3.6056
4.2426 3.6056 4.4721 5.3852 6.3246 7.2801 6.0828 5.0990 4.1231 3.1623 2.2361 1.4142 1.0000 0.0000 1.0000 2.0000 3.0000 4.0000 5.0000 5.0990 4.1231 3.1623 2.2361 1.4142 2.2361 2.8284 3.6056 4.4721 5.3852 5.8310 5.0000 4.2426 3.6056 4.2426
3.6056 2.8284 3.6056 4.4721 5.3852 6.3246 5.0990 4.1231 3.1623 2.2361 1.4142 1.0000 1.4142 1.0000 0.0000 1.0000 2.0000 3.0000 4.0000 4.1231 3.1623 2.2361 1.4142 1.0000 2.0000 2.2361 2.8284 3.6056 4.4721 5.0000 4.2426 3.6056 3.1623 3.6056
3.1623 2.2361 2.8284 3.6056 4.4721 5.3852 4.1231 3.1623 2.2361 1.4142 1.0000 1.4142 2.2361 2.0000 1.0000 0.0000 1.0000 2.0000 3.0000 3.1623 2.2361 1.4142 1.0000 1.4142 2.2361 2.0000 2.2361 2.8284 3.6056 4.2426 3.6056 3.1623 3.0000 3.1623
3.0000 2.0000 2.2361 2.8284 3.6056 4.4721 3.1623 2.2361 1.4142 1.0000 1.4142 2.2361 3.1623 3.0000 2.0000 1.0000 0.0000 1.0000 2.0000 2.2361 1.4142 1.0000 1.4142 2.2361 2.8284 2.2361 2.0000 2.2361 2.8284 3.6056 3.1623 3.0000 3.1623 3.0000
3.1623 2.2361 2.0000 2.2361 2.8284 3.6056 2.2361 1.4142 1.0000 1.4142 2.2361 3.1623 4.1231 4.0000 3.0000 2.0000 1.0000 0.0000 1.0000 1.4142 1.0000 1.4142 2.2361 3.1623 3.6056 2.8284 2.2361 2.0000 2.2361 3.1623 3.0000 3.1623 3.6056 3.1623
